q,t,r,k,D
5,3,3,6,-11
37,7,31,6,-11
5,-1,7,6,-19
17,5,13,6,-43
8122501,2851,8119651,6,-67
37,-5,43,6,-123
4357,-65,4423,6,-163
197,-13,211,6,-619
4137157,2035,4135123,6,-723
257,17,241,6,-739
12076088289594082667150216839518097,-109891256656724435,12076088289594082777041473496242533,6,-947
401,-19,421,6,-1243
1163075971601,-1078459,1163077050061,6,-1723
577,-23,601,6,-1779
9834497,3137,9831361,6,-6571
33143436094813827498252193661317,-5757033619392353,33143436094813833255285813053671,6,-8499
2917,-53,2971,6,-8859
12853085414401,3585121,12853081829281,6,-12563
41617,205,41413,6,-13827
1865957,1367,1864591,6,-15499
15729157,3967,15725191,6,-18139
19411803033183317805747622285717222597,-4405882775696979185,19411803033183317810153505061414201783,6,-19587
8101,91,8011,6,-24123
8101,-89,8191,6,-24483
7397720101,-86009,7397806111,6,-24747
12101,-109,12211,6,-36523
14401,121,14281,6,-42963
147457,385,147073,6,-49067
377902946955077,-19439725,377902966394803,6,-58027
101948603922793237631175874757,319293914634767,101948603922792918337261239991,6,-60859
22501,-149,22651,6,-67803
24337,157,24181,6,-72699
17940053136494365908863149405913303297,4235569989563903537,17940053136494365904627579416349399761,6,-93259
30977,-175,31153,6,-93283
577467062369951297,-759912535,577467063129863833,6,-105883
874569730546100019601,-29573125139,874569730575673144741,6,-117667
39271348901,-198169,39271547071,6,-122923
42437,-205,42643,6,-127723
44101,211,43891,6,-131883
404497,637,403861,6,-134691
32592178609937,5708957,32592172900981,6,-154939
484417,-695,485113,6,-161627
55697,-235,55933,6,-167563
